,user,komunikacyjne,mieszkanie,rolne,upraw,NNW,firm,OC,zwierzat,inne,na_zycie,grupowe,travel,<5000,<10000,<50000,<100000,+1000000,high,low,+100000
3071,205072001-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3072,350362010-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3073,224082001-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3074,146772001-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3075,358962010-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3076,191232001-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3077,88402000-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3078,66321999-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3079,673602019-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3080,21081999-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3081,584332014-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3082,323362008-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3083,85052000-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
3084,673782019-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3085,211142001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3086,310392007-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3087,507642013-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3088,625762017-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3089,200362001-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
3090,101742001-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3091,293212006-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3092,368402011-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3093,551812014-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3094,563162014-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3095,301602007-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3096,95702001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3097,206892001-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3098,359262010-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3099,50771999-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3100,208362001-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3101,593362015-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
3102,367842011-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3103,674752019-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3104,113922001-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
